,stopTime_ES,mse_ES,stopTime_AIC,mse_AIC,mse_min,,,,,,,
359,44,2.0356,60,2.1416,2.0013,,,,,,,
360,27,4.3771,78,1.7225,1.4048,,,,,,,
361,24,3.3721,49,1.9908,1.5642,,,,,,,
362,49,0.4366,60,0.4093,0.3943,,,,,,,
363,35,1.2675,81,0.5803,0.5706,,,,,,,
364,25,2.7316,72,2.5431,2.2776,,,,,,,
365,45,1.4549,99,0.8639,0.8297,,,,,,,
366,71,2.1511,43,2.6109,1.9514,,,,,,,
367,23,3.5201,53,1.4299,1.1370,,,,,,,
368,40,1.9972,64,2.3258,1.8830,,,,,,,
369,49,1.4007,95,0.7597,0.7039,,,,,,,
370,33,4.0065,83,2.2517,1.8857,,,,,,,
371,74,1.2487,165,1.3842,1.1479,,,,,,,
372,27,4.6549,82,4.1846,3.9264,,,,,,,
373,18,3.2111,61,0.6085,0.5331,,,,,,,
374,133,1.8733,42,2.2136,1.8543,,,,,,,
375,32,2.0413,60,1.2007,0.9490,,,,,,,
376,60,0.3624,73,0.3852,0.3398,,,,,,,
377,57,1.4474,70,1.2592,1.1329,,,,,,,
378,64,0.7081,78,0.7812,0.6488,,,,,,,
379,600,2.0426,32,1.6176,1.4595,,,,,,,
380,46,1.1645,132,1.4971,1.0648,,,,,,,
381,28,1.4514,263,1.0228,0.6757,,,,,,,
382,47,2.8415,79,3.0331,2.7781,,,,,,,
383,85,0.3317,50,0.3966,0.3065,,,,,,,
384,38,0.9086,57,0.3393,0.2457,,,,,,,
385,107,1.7568,36,2.0902,1.7143,,,,,,,
386,37,0.9768,92,0.9257,0.6453,,,,,,,
387,40,2.1988,137,1.5166,1.4754,,,,,,,
388,47,0.1078,111,0.6324,0.0713,,,,,,,
389,33,2.9327,197,2.0672,1.6761,,,,,,,
390,46,0.5016,59,0.6022,0.5016,,,,,,,
391,37,0.7040,61,0.7643,0.5785,,,,,,,
392,54,0.8028,58,0.7666,0.7502,,,,,,,
393,600,1.9993,55,0.4714,0.4555,,,,,,,
394,41,0.9681,52,0.7341,0.6271,,,,,,,
395,48,2.2649,114,2.5427,2.1078,,,,,,,
396,40,2.1924,68,1.7625,1.7157,,,,,,,
397,31,1.8742,66,0.8204,0.8064,,,,,,,
398,18,7.0643,50,3.6824,3.6274,,,,,,,
399,40,1.2374,44,1.2807,1.2374,,,,,,,
400,14,3.7789,92,1.2913,1.2212,,,,,,,
401,22,1.7208,46,1.6320,1.5095,,,,,,,
402,36,1.6391,110,1.5196,1.3275,,,,,,,
403,27,1.8979,91,1.1550,1.1142,,,,,,,
404,34,2.2043,41,2.0739,2.0328,,,,,,,
405,91,1.4957,50,1.8018,1.4664,,,,,,,
406,34,1.0073,44,1.0136,0.9356,,,,,,,
407,35,1.3347,43,1.0617,0.6925,,,,,,,
408,27,2.6766,97,0.6377,0.6136,,,,,,,
409,65,1.7170,73,1.7709,1.7072,,,,,,,
410,18,4.5197,55,1.8111,1.4751,,,,,,,
411,47,3.4026,83,2.2433,2.0200,,,,,,,
412,38,2.1873,58,2.1056,2.0134,,,,,,,
413,76,1.2596,229,2.3255,1.1806,,,,,,,
414,25,1.5843,47,0.9615,0.9615,,,,,,,
415,68,0.5903,102,0.7019,0.5471,,,,,,,
416,28,4.6880,110,2.3276,2.2832,,,,,,,
417,20,1.8191,44,0.8559,0.7895,,,,,,,
418,25,5.1344,112,1.3150,1.2435,,,,,,,
419,40,0.5314,82,0.6127,0.3662,,,,,,,
420,120,1.3146,53,1.4333,1.2885,,,,,,,
421,29,1.8597,73,1.1452,1.0993,,,,,,,
422,28,1.7711,123,2.6957,1.6438,,,,,,,
423,31,2.1826,59,1.4627,1.4503,,,,,,,
424,30,3.5141,71,1.9418,1.8781,,,,,,,
425,42,0.4558,56,0.4703,0.4001,,,,,,,
426,32,3.0815,94,1.3874,1.3079,,,,,,,
427,410,2.1799,47,2.9092,1.9212,,,,,,,
428,34,1.4280,66,0.8076,0.7769,,,,,,,
429,39,1.4846,96,1.2595,1.0958,,,,,,,
430,35,2.5098,108,0.8065,0.7312,,,,,,,
431,13,6.0125,59,2.8622,2.2825,,,,,,,
432,56,0.7244,54,0.6869,0.5755,,,,,,,
433,41,1.7435,86,2.0697,1.6374,,,,,,,
434,24,4.4966,62,1.8934,1.7577,,,,,,,
435,600,1.8883,84,1.4514,1.4186,,,,,,,
436,27,3.8448,102,2.7423,2.6806,,,,,,,
437,56,0.6245,94,0.8453,0.6041,,,,,,,
438,48,2.2123,52,2.0636,1.5350,,,,,,,
439,44,1.0609,117,0.8285,0.6122,,,,,,,
440,47,3.4982,60,3.0424,2.7085,,,,,,,
441,29,1.9432,62,0.3450,0.2652,,,,,,,
442,45,1.2942,79,1.1592,1.0858,,,,,,,
443,48,1.3297,47,1.3313,1.2210,,,,,,,
444,56,1.6752,65,1.5218,1.2855,,,,,,,
445,32,2.6326,60,0.9579,0.6171,,,,,,,
446,42,0.3778,82,0.4849,0.3036,,,,,,,
447,46,1.1371,69,0.7836,0.6340,,,,,,,
448,28,3.6740,71,1.3834,1.2682,,,,,,,
449,57,1.1391,60,1.0845,1.0233,,,,,,,
450,44,2.5688,79,1.9063,1.7782,,,,,,,
451,19,4.1307,60,1.7100,1.3867,,,,,,,
452,26,1.7719,63,0.7673,0.7673,,,,,,,
453,27,2.0249,69,0.2616,0.2533,,,,,,,
454,19,4.6576,72,1.5138,1.3916,,,,,,,
455,32,1.6334,47,1.0139,0.8093,,,,,,,
456,28,1.9690,59,0.9234,0.8835,,,,,,,
457,20,4.4318,92,1.4955,1.4469,,,,,,,
458,44,0.7592,115,0.4884,0.3669,,,,,,,
459,36,1.4404,43,1.0261,0.6700,,,,,,,
460,29,1.7389,51,0.9082,0.7557,,,,,,,
461,27,0.6792,57,0.1251,0.0597,,,,,,,
462,25,2.7748,164,1.3069,1.2708,,,,,,,
463,42,0.4609,104,0.3490,0.2304,,,,,,,
464,28,4.3828,77,2.6181,2.5096,,,,,,,
465,26,1.8908,76,1.1001,0.9845,,,,,,,
466,32,1.7430,110,1.7398,1.1813,,,,,,,
467,70,1.0292,52,1.1458,0.9640,,,,,,,
468,55,1.6678,72,1.7298,1.6382,,,,,,,
469,37,0.8241,86,0.7939,0.4799,,,,,,,
470,36,1.5115,74,1.1367,1.1015,,,,,,,
471,29,2.5804,68,1.9439,1.8581,,,,,,,
472,33,1.9188,115,0.8156,0.8093,,,,,,,
473,38,3.2327,53,2.7319,1.8555,,,,,,,
474,600,2.1371,51,2.6156,1.9627,,,,,,,
475,16,3.8475,67,0.7346,0.6796,,,,,,,
476,33,1.1123,103,0.5587,0.4442,,,,,,,
477,22,2.4130,83,0.9044,0.9039,,,,,,,
478,38,0.5071,60,0.7570,0.4681,,,,,,,
479,600,3.3973,35,1.4714,1.3968,,,,,,,
480,20,4.0471,58,1.9262,1.8695,,,,,,,
481,29,1.0231,123,1.3264,0.5957,,,,,,,
482,44,0.8995,151,0.3150,0.1188,,,,,,,
483,66,1.4750,60,1.4463,1.3351,,,,,,,
484,25,1.6345,93,0.3284,0.3129,,,,,,,
485,28,2.2898,66,1.2976,1.2219,,,,,,,
486,127,1.0279,52,0.7502,0.6986,,,,,,,
487,27,2.9482,102,1.2542,1.2203,,,,,,,
488,33,3.1389,80,1.4779,1.4506,,,,,,,
489,31,0.7269,77,0.4273,0.2309,,,,,,,
490,149,2.4809,40,3.2285,2.4551,,,,,,,
491,26,3.2508,52,2.5714,2.3767,,,,,,,
492,30,1.5102,112,1.4231,0.8983,,,,,,,
493,143,3.6546,60,2.9240,2.5070,,,,,,,
